Magdalena_Sadowska
Wolne,Matematyka-wykl 2 Architektura1111,Geometria_wykreslna-lab 102 Architektura1134,Wolne,Wolne,
Wolne,Technologia_informacyjna-lab 105 Budownictwo1135,Historia_architektury_powszechnej-cw 10 Budownictwo1123,Wolne,Wolne,

Oktawia_Marciniak
Wolne,Fizyka-cw 10 Architektura1121,Wolne,Technologia_informacyjna-lab 103 Architektura1131,Technologia_informacyjna-lab 101 Budownictwo1137,
Wolne,Matematyka-cw 11 Budownictwo1121,Wolne,Wolne,Technologia_informacyjna-lab 103 Architektura1134,
Wolne,Wolne,Wolne,Technologia_informacyjna-lab 105 Architektura1132,Technologia_informacyjna-lab 102 Budownictwo1138,
Geometria_wykreslna-wykl 1 Architektura1111,Fizyka-cw 10 Architektura1122,Matematyka-cw 11 Budownictwo1122,Technologia_informacyjna-lab 101 Architektura1133,Technologia_informacyjna-lab 103 Budownictwo1139,

Gniewomir_Jasinski
Wolne,Budownictwo_ogolne-wykl 1 Budownictwo1112,Jezyk_niemiecki-cw 10 Architektura1122,Budownictwo_ogolne-lab 104 Budownictwo1137,Wolne,
Matematyka-cw 10 Budownictwo1123,Wolne,Jezyk_niemiecki-cw 10 Architektura1121,Budownictwo_ogolne-lab 102 Budownictwo1135,Wolne,
Budownictwo_ogolne-wykl 2 Budownictwo1111,Wolne,Wolne,Budownictwo_ogolne-lab 100 Budownictwo1139,Wolne,
Budownictwo_ogolne-lab 101 Budownictwo1134,Matematyka-cw 11 Budownictwo1124,Budownictwo_ogolne-lab 105 Budownictwo1138,Budownictwo_ogolne-lab 103 Budownictwo1136,Wolne,

Klaudiusz_Walczak
Wolne,Wolne,Wolne,Jezyk_angielski-cw 10 Architektura1122,Mechanika_budowli-lab 100 Budownictwo1138,
Mechanika_budowli-wykl 1 Budownictwo1111,Mechanika_budowli-wykl 2 Budownictwo1112,Mechanika_budowli-lab 103 Budownictwo1135,Geometria_wykreslna-cw 11 Budownictwo1121,Wolne,
Wolne,Mechanika_budowli-lab 102 Budownictwo1134,Jezyk_angielski-cw 10 Architektura1121,Geometria_wykreslna-cw 11 Budownictwo1122,Mechanika_budowli-lab 101 Budownictwo1139,
Wolne,Mechanika_budowli-lab 104 Budownictwo1136,Wolne,Mechanika_budowli-lab 105 Budownictwo1137,Wolne,

Fabian_Rutkowski
Podstawy_projektowania_architektonicznego-wykl 2 Budownictwo1111,Wolne,Wolne,Rysunek_odreczny-lab 101 Budownictwo1138,Wolne,
Geometria_wykreslna-cw 11 Budownictwo1124,Wolne,Rysunek_odreczny-lab 105 Budownictwo1136,Mechanika_ogolna-cw 10 Architektura1122,Rysunek_odreczny-lab 100 Budownictwo1137,
Mechanika_ogolna-cw 10 Architektura1121,Podstawy_projektowania_architektonicznego-wykl 1 Budownictwo1112,Wolne,Geometria_wykreslna-cw 10 Budownictwo1123,Rysunek_odreczny-lab 103 Budownictwo1134,
Wolne,Wolne,Rysunek_odreczny-lab 102 Budownictwo1139,Rysunek_odreczny-lab 104 Budownictwo1135,Wolne,
