Grupa1
Matematyka-wykl Aisha_Andrzejewska 1,Podstawy_projektowania_architektonicznego-wykl Fabian_Rutkowski 1,Geometria_wykreslna-wykl Aneta_Wisniewska 1,Geometria_wykreslna-cw Fabian_Rutkowski 10,Wolne,
Historia_architektury_powszechnej-wykl Magdalena_Sadowska 2,Technologia_informacyjna-lab Adriana_Jaworska 105,Historia_architektury_powszechnej-cw Adriana_Jaworska 10,Rysunek_odreczny-lab Fabian_Rutkowski 104,Wolne,

Grupa6
Podstawy_projektowania_architektonicznego-cw Aisha_Andrzejewska 10,Budownictwo_ogolne-wykl Gniewomir_Jasinski 1,Teoria_architektury-wykl Adriana_Jaworska 1,Technologia_informacyjna-lab Adriana_Jaworska 100,Wolne,
Matematyka-cw Gniewomir_Jasinski 10,Mechanika_budowli-wykl Klaudiusz_Walczak 2,Rysunek_odreczny-lab Fabian_Rutkowski 105,Wolne,Wolne,
Matematyka-wykl Aisha_Andrzejewska 1,Podstawy_projektowania_architektonicznego-wykl Fabian_Rutkowski 1,Geometria_wykreslna-wykl Aneta_Wisniewska 1,Geometria_wykreslna-cw Fabian_Rutkowski 10,Wolne,
Historia_architektury_powszechnej-wykl Magdalena_Sadowska 2,Mechanika_budowli-lab Klaudiusz_Walczak 104,Historia_architektury_powszechnej-cw Adriana_Jaworska 10,Budownictwo_ogolne-lab Gniewomir_Jasinski 103,Wolne,

Grupa7
Podstawy_projektowania_architektonicznego-cw Aisha_Andrzejewska 10,Budownictwo_ogolne-wykl Gniewomir_Jasinski 1,Teoria_architektury-wykl Adriana_Jaworska 1,Budownictwo_ogolne-lab Gniewomir_Jasinski 104,Technologia_informacyjna-lab Oktawia_Marciniak 101,
Matematyka-cw Gniewomir_Jasinski 10,Mechanika_budowli-wykl Klaudiusz_Walczak 2,Wolne,Wolne,Rysunek_odreczny-lab Fabian_Rutkowski 100,
Matematyka-wykl Aisha_Andrzejewska 1,Podstawy_projektowania_architektonicznego-wykl Fabian_Rutkowski 1,Geometria_wykreslna-wykl Aneta_Wisniewska 1,Geometria_wykreslna-cw Fabian_Rutkowski 10,Wolne,
Historia_architektury_powszechnej-wykl Magdalena_Sadowska 2,Wolne,Historia_architektury_powszechnej-cw Adriana_Jaworska 10,Mechanika_budowli-lab Klaudiusz_Walczak 105,Wolne,

Grupa8
Historia_architektury_powszechnej-cw Adriana_Jaworska 11,Budownictwo_ogolne-wykl Gniewomir_Jasinski 1,Teoria_architektury-wykl Adriana_Jaworska 1,Rysunek_odreczny-lab Fabian_Rutkowski 101,Mechanika_budowli-lab Klaudiusz_Walczak 100,
Geometria_wykreslna-cw Fabian_Rutkowski 11,Mechanika_budowli-wykl Klaudiusz_Walczak 2,Podstawy_projektowania_architektonicznego-cw Aisha_Andrzejewska 11,Wolne,Wolne,
Matematyka-wykl Aisha_Andrzejewska 1,Podstawy_projektowania_architektonicznego-wykl Fabian_Rutkowski 1,Geometria_wykreslna-wykl Aneta_Wisniewska 1,Wolne,Technologia_informacyjna-lab Oktawia_Marciniak 102,
Historia_architektury_powszechnej-wykl Magdalena_Sadowska 2,Matematyka-cw Gniewomir_Jasinski 11,Budownictwo_ogolne-lab Gniewomir_Jasinski 105,Wolne,Wolne,

Grupa9
Historia_architektury_powszechnej-cw Adriana_Jaworska 11,Budownictwo_ogolne-wykl Gniewomir_Jasinski 1,Teoria_architektury-wykl Adriana_Jaworska 1,Wolne,Wolne,
Geometria_wykreslna-cw Fabian_Rutkowski 11,Mechanika_budowli-wykl Klaudiusz_Walczak 2,Podstawy_projektowania_architektonicznego-cw Aisha_Andrzejewska 11,Wolne,Wolne,
Matematyka-wykl Aisha_Andrzejewska 1,Podstawy_projektowania_architektonicznego-wykl Fabian_Rutkowski 1,Geometria_wykreslna-wykl Aneta_Wisniewska 1,Budownictwo_ogolne-lab Gniewomir_Jasinski 100,Mechanika_budowli-lab Klaudiusz_Walczak 101,
Historia_architektury_powszechnej-wykl Magdalena_Sadowska 2,Matematyka-cw Gniewomir_Jasinski 11,Rysunek_odreczny-lab Fabian_Rutkowski 102,Wolne,Technologia_informacyjna-lab Oktawia_Marciniak 103,
